Structure [idcode],Structure No,Catalog ID,Plate_ID,Well,"V, ÂµL","Conc, mM",Formula,SMILES,MW,Purity,PO,MW_salt,Stereochem.data,Geometric.isomer,Chemical name,ClogP,logS,HBD,HBA,TPSA,RotBonds,% inh rep1,% inh rep2
fhiPa@NJQ`@QBPrRRqIYQIHToAe`@jjb@@ !B?`@@?g?~?g~H?[_}?g?~_{]}?g~O[[Amv]?FwpqG\t\,11,Z2967413501,1907006-Y10-01,K03,10,10,C11H15FN2O2S,O=S(c(cc1)cnc1N1CCCCCC1)(F)=O,258.3124,100,27521095,0,Achiral,None,6-(azepan-1-yl)pyridine-3-sulfonyl fluoride,"2,969","-2,427",0,4,"50,27",2,1.921844971,-5.964912281
dcNDpBWPqABIdDfUWjf`@jT@@ !Bb@JH__x@b@JH@ox@?`BH@`Jwb@K}b@,12,Z1741785808,1907006-Y10-01,L03,10,10,C6H5BrFNO2S,Cc1cc(Br)cnc1S(F)(=O)=O,254.0768,100,27521095,0,Achiral,None,5-bromo-3-methylpyridine-2-sulfonyl fluoride,"2,512","-2,64",0,3,"47,03",1,5.253042921,9.192982456
f`qQa@NJQap@bDaddebRrTREIwiX@Jjbaj`@ !BbOpBmwvHmww~_{\Bmwvw_[\Bmww~_qaSYuMeGqh_,13,Z2970689487,1907006-Y10-01,M03,10,10,C9H11FN2O3S,O=S(c(cc1)cnc1NC1COCC1)(F)=O,246.2586,91,27521095,0,Racemic or presumed racemic or meso,None,6-[(oxolan-3-yl)amino]pyridine-3-sulfonyl fluoride,"1,454","-1,899",1,5,"68,29",3,5.664194201,-2.062541583
dk_DPJeTp@bICIIKEDengSeijeX@@ !BFa|_YV@ZYV@_FbpX?`Bw?ULXm?rw?K_},14,Z3379369885,1907006-Y10-01,N03,10,10,C6H4FN3O2S,O=S(c1cnc2nccc[n]12)(F)=O,201.1783,97.55,27521095,0,Achiral,None,"imidazo[1,2-a]pyrimidine-3-sulfonyl fluoride","0,518","-1,812",0,4,"64,33",1,9.575185435,9.248170326
f`qPc@NJQ`@QBP}HYIIXdlhdaRlzV@BjhhVP@ !BYuLlYq`lTqcRtK|qTqaSFK|qTq`ZXG?~YrqeXOx@,15,Z2972550673,1907006-Y10-01,O03,10,10,C9H10F2N2O2S,O=S(c(cc1)cnc1N(CC1)C[C@H]1F)(F)=O,248.2497,100,27521095,0,Single known enantiomer,None,6-[(3S)-3-fluoropyrrolidin-1-yl]pyridine-3-sulfonyl fluoride,"1,844","-2,215",0,4,"50,27",2,-11.46325017,-9.647371923
f`aac@EL]xDPXHmHILkKnuSd@QWTh@@ !Bb@K~@Ha}b@JH@ox@bGvH_[\BbGw~@K_|mpHBbOvw,16,Z3333541319,1907006-Y10-01,P03,10,10,C9H7ClFNO3S,N#Cc1cc(Cl)cc(OCCS(F)(=O)=O)c1,263.6732,95,27521095,0,Achiral,None,2-(3-chloro-5-cyanophenoxy)ethane-1-sulfonyl fluoride,"2,343","-3,066",0,4,"67,16",4,29.87101154,31.93456615
fbuaa@@hpd@QBPrRRqIYQIYJBd{tl@D@EL@@@ !B_?{~_pC~?`Bw?Hc|?`C~@H`B?`Bw?Hc|?`C~@H`B?`BH@ha}?`@,17,Z2907408180,1907006-Y10-01,A04,10,10,C14H12FNO3S,CC(Nc(cc1)ccc1-c(cc1)ccc1S(F)(=O)=O)=O,293.3134,100,27521095,0,Achiral,None,"4'-acetamido-[1,1'-biphenyl]-4-sulfonyl fluoride","3,343","-4,357",1,3,"63,24",3,-1.738122827,-6.157635468
fbupa@J\Tc@@bDaddebRrbRrdEJsiX@JjjhhVh@@ !BYuLlYq`lTqcRtK|qTqaSFK|qTq`ZXG?~YrqeXOx@mpJw@orH?[\,18,Z8148731861,1907006-Y10-01,B04,10,10,C13H20FN3O2S,CC(C)(C)CC(CC1)CN1c(cc1)nnc1S(F)(=O)=O,301.3802,96.29,27521095,0,Racemic or presumed racemic or meso,None,"6-[3-(2,2-dimethylpropyl)pyrrolidin-1-yl]pyridazine-3-sulfonyl fluoride","3,225","-4,359",0,5,"63,16",4,-8.342989571,14.28571429
f`qaa@JHpH@QBPrRRqJKSI\D{tmKT@D@@@ !BYrqSYqaSKAaeX@C~FBpZXBqg?`CMsxANKF\lYxAN,19,Z2907421621,1907006-Y10-01,C04,10,10,C10H8FNO3S,Cc1nc(S(F)(=O)=O)c(-c2ccccc2)[o]1,241.2388,91,27521095,0,Achiral,None,"2-methyl-5-phenyl-1,3-oxazole-4-sulfonyl fluoride","2,664","-2,854",0,3,"60,17",2,6.373117034,5.78817734
flepS@KARcAC@BHRG`cIIJhdlieDiJbfV`@fihP@@ !Bb@HBmwvHmww~_{]}bGw~_?y?bGw~_xa}mww~_qaSYuMeGqh_,20,Z3919194309,1907006-Y10-01,D04,10,10,C9H6FN3O4S2,O=C(c(cc1)ccc1OS(F)(=O)=O)Nc1nnc[s]1,303.29,98.78,27521095,0,Achiral,None,"4-[(1,3,4-thiadiazol-2-yl)carbamoyl]phenyl sulfurofluoridate","-0,407","-4,337",1,5,"98,25",4,-0.605601817,17.06758305
foAQa@EVQ``@bDaddeTRTrtmFmKPACQ@@@ !B@O{~@G?~?g~H_X`B?g~H_Xc}XAk~_rqgXFTZGp,21,Z3919173703,1907006-Y10-01,E04,10,10,C8H7FN2O3S,C[n]1c(ccc(OS(F)(=O)=O)c2)c2nc1,230.2162,100,27521095,0,Achiral,None,"1-methyl-1H-1,3-benzodiazol-5-yl sulfurofluoridate","0,005","-2,131",0,3,"61,19",2,-10.59803179,1.947308133
ff}qQ@AVjcACI@DPdLddjbRVfbRdLeQSKP@SUUVT@t@@ !B@O{~_w?~?`Bw?K_}?`Bw?K\B?`C~@K_|bOs~@Hc}b@JH?Hc}bwbt^Hmx,22,Z4262548861,1907006-Y10-01,F04,10,10,C12H12FN3O5S,CC(C1)(C#N)OCCN1C(c1cc(OS(F)(=O)=O)cnc1)=O,329.3042,98.27,27521095,0,Racemic or presumed racemic or meso,None,5-(2-cyano-2-methylmorpholine-4-carbonyl)pyridin-3-yl sulfurofluoridate,"-2,009","-2,35",0,6,"109,59",3,0.948166877,9.379128137
foA@Q@DXHx@QBPrRRjIJYJRkNeh@Jh`@@ !B?g}??`C~?`Bw@k_}?`Bw@k\B?`Bw?[\BmpJw_P,23,Z3919187212,1907006-Y10-01,G04,10,10,C9H9FO4S,O=S(Oc1cc(CCOC2)c2cc1)(F)=O,232.2288,95,27521095,0,Achiral,None,"3,4-dihydro-1H-2-benzopyran-6-yl sulfurofluoridate","0,039","-2,291",0,3,"52,6",2,-6.763590392,-12.15323646
ff}QQ@AVQ`ab`BHRFRRUQIKSQRIFRbueh@IjjjH@@ !B_?{~_pC~?`Bw@k_}?`Bw@k\B?`C~@H`BmpIn@A_cNyPBbF@eGuj?R[VP,24,Z4262580122,1907006-Y10-01,H04,10,10,C13H17FN2O5S,CC(C)(COCCC1)N1C(c1cc(OS(F)(=O)=O)cnc1)=O,332.3479,95.35,27521095,0,Achiral,None,"5-(3,3-dimethyl-1,4-oxazepane-4-carbonyl)pyridin-3-yl sulfurofluoridate","-0,993","-2,458",0,5,"85,8",3,2.212389381,0.528401585
f`aAQ@DXIYp@bDaddeTRTradjV`@ih@@ !B@hbw@ovwbGvH@ox@bGvH@h`BbGw~@H`BmpJH@ox@,25,Z3919173626,1907006-Y10-01,I04,10,10,C9H9FO5S,Cc(ccc(OS(F)(=O)=O)c1)c1C(OC)=O,248.2282,95,27521095,0,Achiral,None,methyl 5-[(fluorosulfonyl)oxy]-2-methylbenzoate,"1,034","-2,963",0,3,"69,67",4,0.404312668,-4.881355932
ff}PQ@AVQ`a`ADICIIJhdeieEDiIVRrt@DtAA@@@ !B_[^H__rHmpJw__y?mpJw?[]}m?rw@ox@mwvw@ox@mwvw?Hc|mpJw?_x@,26,Z4262439051,1907006-Y10-01,J04,10,10,C14H13FN2O4S,Cc1cccc(NC(c2cc(OS(F)(=O)=O)cnc2)=O)c1C,324.3274,96.23,27521095,0,Achiral,None,"5-[(2,3-dimethylphenyl)carbamoyl]pyridin-3-yl sulfurofluoridate","0,619","-3,808",1,4,"85,36",4,7.81671159,-0.271186441
ff}Ps@AN`aTRu@DIBLrFRREKISQIKJQgOAVjjX@Je`@@ !BJf}@ek]}?`Bw@k_|?`Bw?Ox@b@Jw@k]}?`Bw@k_|?`C~@K\BmpHBbOvw,27,Z4317483445,1907006-Y10-01,K04,10,10,C11H13FN2O6S2,O=C(c1cncc(OS(F)(=O)=O)c1)NC(CC1)CCS1(=O)=O,352.3591,96.68,27521095,0,Achiral,None,"5-[(1,1-dioxo-1lambda6-thian-4-yl)carbamoyl]pyridin-3-yl sulfurofluoridate","-3,216","-1,861",1,6,"119,5",4,5.124919923,-3.438596491
fhiaa@EHpX@QBPrRRjIKJZHTg^ejjijjQP`U@@ !BYuLlYq`lTqb?LRnD_[_Os]~fmpJw__y?mpI}bG?~?`@,28,Z3267389782,1907006-Y10-01,L04,10,10,C11H18FNO3S,CC(C1)C1C(N[C@@H]1C[C@H](CS(F)(=O)=O)CC1)=O,263.3289,100,27521095,0,Diastereomeric mixture,None,"rac-[(1R,3S)-3-(2-methylcyclopropaneamido)cyclopentyl]methanesulfonyl fluoride","0,849","-2,334",1,3,"63,24",4,0.512491992,2.035087719
f`qqa@AZ|cA@ADICIIJhheEdjsoRtDEBd@@ !Bb@HBm?vHmwvw@k]}?`C~_{\BmpHXTv]S?`AeGqh_,29,Z3919186165,1907006-Y10-01,M04,10,10,C8H6FN3O3S,O=S(Oc(cccc1)c1-[n]1ncnc1)(F)=O,243.2149,97,27521095,0,Achiral,None,"2-(1H-1,2,4-triazol-1-yl)phenyl sulfurofluoridate","-0,373","-2,712",0,4,"74,08",3,7.687120701,0.998003992
fjmqQ@AVRcACY@DPdLddjbRVfbbVdhJYZ@BZjfJCj@@ !BpJZYpM~Yim}`YXQTim}`YVAeim~fw{lkXFTXKAh_FEO~@@C~XAhlYp,30,Z4262428180,1907006-Y10-01,N04,10,10,C11H12FN3O5S,CC(C(N(C)C1)=O)N1C(c1cc(OS(F)(=O)=O)cnc1)=O,317.2935,97.44,27521095,0,Racemic or presumed racemic or meso,None,"5-(3,5-dimethyl-4-oxoimidazolidine-1-carbonyl)pyridin-3-yl sulfurofluoridate","-1,554","-2,121",0,5,"96,88",3,-3.371544167,-7.252162342
ff}pS@LZmAAZ`BDaFYCIICEDeEEReHkvkKUSSUURt@@ !BYV@ZGv@ZGvVDJz[@YrqeGv@ZXAigT?x@_?xlYz[@Tv^?SeMgFEMSYv\l,31,Z2855072316,1907006-Y10-01,O04,10,10,C12H20FN3O4S2,Cc([n](CCS(F)(=O)=O)nc1C)c1S(N1CCCCC1)(=O)=O,353.4333,100,27521095,0,Achiral,None,"2-[3,5-dimethyl-4-(piperidine-1-sulfonyl)-1H-pyrazol-1-yl]ethane-1-sulfonyl fluoride","1,288","-1,305",0,5,"89,34",4,-6.608226568,-8.982035928
fhipQ@NZlcA``BHRFRRVIIIQPbeYtl@EMRP@@ !B@hbw@gvwbGw~_x`BbOvH_Xc|b@JH?_x@bGvH?Oy?bOt,32,Z2907418300,1907006-Y10-01,P04,10,10,C8H6FN3O4S,CN(c(c(C(N1)=O)c2)ncc2S(F)(=O)=O)C1=O,259.2143,100,27521095,0,Achiral,None,"1-methyl-2,4-dioxo-1H,2H,3H,4H-pyrido[2,3-d]pyrimidine-6-sulfonyl fluoride","0,364","-2,183",1,5,"96,44",1,8.010862186,5.33428165
fdy`Q@CHpPH@bDaddeTRVTbLdjsiZ@BjfH@@ !B@JfV@G~VjW|xRvCJjW|xRsaKjW|xRs`t?__|}vCUeg|xM@,33,Z3919187927,1907006-Y10-01,A05,10,10,C11H12FNO4S,CC(NC1(CC1)c(cc1)ccc1OS(F)(=O)=O)=O,273.2807,100,27521095,0,Achiral,None,4-(1-acetamidocyclopropyl)phenyl sulfurofluoridate,"-0,282","-2,76",1,3,"72,47",4,8.342989571,14.408867
dg^LPFSI@HbPrRRjIPrCLmRuU@@ !BJ{nDJuRDnuP_YVT_Yrq??f]S?`C~@@C~_?x,34,Z3489666324,1907006-Y10-01,B05,10,10,C8H12FNO3S,CC(C)(C)c1c(CS(F)(=O)=O)nc[o]1,221.2492,100,27521095,0,Achiral,None,"(5-tert-butyl-1,3-oxazol-4-yl)methanesulfonyl fluoride","1,049","-1,327",0,3,"60,17",3,19.35110081,20.44334975
fbuPQ@AZQ`e`ADICIIJhdeeMEIIPXrt@EMUQP]P@ !B?g|@?ox@_?y}mpJw_?y}mwvw_?y??gvw@k]??indfyn[fyndiJP,35,Z4650038361,1907006-Y10-01,C05,10,10,C12H15FN2O4S,CC(C)(CC1)C1C(Nc1cc(OS(F)(=O)=O)cnc1)=O,302.3219,100,27521095,0,Racemic or presumed racemic or meso,None,"5-(2,2-dimethylcyclobutaneamido)pyridin-3-yl sulfurofluoridate","0,867","-2,897",1,4,"85,36",4,16.33835458,3.571428571
dmuDPJEL@HbPrRRqIPYe`@`@@ !B?[^H_PJHmpK~@K]}mpJw@k]}?`@,36,Z4121549729,1907006-Y10-01,D05,10,10,C5H5FN2O2S,Cc1cncc(S(F)(=O)=O)n1,176.1688,100,27521095,0,Achiral,None,6-methylpyrazine-2-sulfonyl fluoride,"0,547","-0,227",0,4,"59,92",1,8.327024981,22.33676976
do~BPGSBl@bICIIJhdhUIVV`@i`@@ !B_?{~_pC~?`Bw@ox@mwvw@k\Bmww~@K\Bmww~@@,37,Z3919173713,1907006-Y10-01,E05,10,10,C8H8FNO4S,NC(Cc1cccc(OS(F)(=O)=O)c1)=O,233.2168,100,27521095,0,Achiral,None,3-(carbamoylmethyl)phenyl sulfurofluoridate,"-1,122","-1,905",1,3,"86,46",4,-19.37925814,5.040091638
do|LpIWPqFBAdLbbRfdUTkh@bVj@@ !B?`BH@k\B?`C~@H`BmpHBmx`B?Xc~@K\Bmww~@@,38,Z3333540486,1907006-Y10-01,F05,10,10,C9H10BrFO3S,CC(C)Oc(ccc(Br)c1)c1S(F)(=O)=O,297.1413,99.88,27521095,0,Achiral,None,5-bromo-2-(propan-2-yloxy)benzene-1-sulfonyl fluoride,"3,849","-3,475",0,3,"43,37",3,12.45259166,5.416116248
fdiQS@AVQ`ao@BHRC`cIIJhdeieIITm@ALm@@@ !B_?{~_pC~?`Bw@k]}?`Bw@k\B?`C~@H`BmpJw_PJwm?w}b@,39,Z4262504290,1907006-Y10-01,G05,10,10,C8H9FN2O5S2,CS(C)(=NC(c1cc(OS(F)(=O)=O)cnc1)=O)=O,296.2959,100,27521095,0,Achiral,None,5-{[dimethyl(oxo)-lambda6-sulfanylidene]carbamoyl}pyridin-3-yl sulfurofluoridate,"-2,352","-1,981",0,6,"102,76",3,3.476611884,2.113606341
dg^BPISML@bICIIKDeCLLrp@SP@@ !B?Xbw_PJwb@K~@Ha}b@JH@ha}?`Bw@h`B?`@,40,Z2937748883,1907006-Y10-01,H05,10,10,C7H6FNO4S,COC(c1nccc(S(F)(=O)=O)c1)=O,219.1902,100,27521095,0,Achiral,None,methyl 4-(fluorosulfonyl)pyridine-2-carboxylate,"0,644","-1,223",0,4,"73,33",3,9.671302149,4.755614267
fdy`Q@CHpPH@bDaddeTRTrTtdjwiZ@BjfH@@ !B@O{~@G?~?g~H_X`B?g~H_Xa}?g~H@ha}bGw~_x`Bm?vH?P,41,Z3919184761,1907006-Y10-01,I05,10,10,C11H12FNO4S,CC(N(CCC1)c(cc2)c1cc2OS(F)(=O)=O)=O,273.2807,98.96,27521095,0,Achiral,None,"1-acetyl-1,2,3,4-tetrahydroquinolin-6-yl sulfurofluoridate","0,195","-2,987",0,3,"63,68",2,11.5902965,4.745762712
dk]DPJYL@HbPrRRqJYKatyYjiV@@ !BFa|_YV@ZYV@lFA|ZTqc~@K_}m?rw?K_},42,Z2235811881,1907006-Y10-01,J05,10,10,C7H5FN2O2S,O=S(c1ncc2[n]1cccc2)(F)=O,200.1902,98.32,27521095,0,Achiral,None,"imidazo[1,5-a]pyridine-3-sulfonyl fluoride","1,804","-2,132",0,3,"51,44",1,29.78436658,11.66101695
ff}PQ@AVQ`a`ADICIIJhdeihiheIQZrt@Du@P@@@ !B@O{~_w?~?`Bw@k]}?`Bw@k\B?`C~@K\Bb@K~@Ha}mpJH@ox@mww~@H`B,43,Z4262480190,1907006-Y10-01,K05,10,10,C14H13FN2O4S,Cc(cccc1)c1N(C)C(c1cc(OS(F)(=O)=O)cnc1)=O,324.3274,100,27521095,0,Achiral,None,5-[methyl(2-methylphenyl)carbamoyl]pyridin-3-yl sulfurofluoridate,"-0,202","-3,407",0,4,"76,57",4,8.584240871,11.43859649
f`qpa@JLxc@@bDaddebRRfRxIwiYih@H@@ !BYrqSYqaSKA`@?fU`Ff@XKF@Z?`BDJz[@XAi`Fj[@,44,Z4121493742,1907006-Y10-01,L05,10,10,C9H8FN3O2S,Cc1nc(S(F)(=O)=O)n[n]1-c1ccccc1,241.2421,93,27521095,0,Achiral,None,"5-methyl-1-phenyl-1H-1,2,4-triazole-3-sulfonyl fluoride","1,864","-2,522",0,4,"64,85",2,-3.459320948,7.649122807
fhiPa@NRQ`@QBPrRRqQJKKJQoAe``hjb@@ !B?`@@?g?~?g~H?[_}b@K~_?y?ZNLQ@K]}XEiDeHjP`Dd,45,Z8077991130,1907006-Y10-01,M05,10,10,C11H15FN2O2S,O=S(c(cncc1)c1N1CCCCCC1)(F)=O,258.3124,100,27521095,0,Achiral,None,4-(azepan-1-yl)pyridine-3-sulfonyl fluoride,"2,969","-1,874",0,4,"50,27",2,10.1146325,0.598802395
do|DhDp@bI@yByAyCIIJhdhYIVV`@j`@@ !B_?{~_pC~?`Bw@ox@mwvw@k\Bmww~@Ox@@Oy??`,46,Z991710812,1907006-Y10-01,N05,10,10,C8H6F4O2S,O=S(Cc1cc(C(F)(F)F)ccc1)(F)=O,242.1907,100,27521095,0,Achiral,None,[3-(trifluoromethyl)phenyl]methanesulfonyl fluoride,"2,707","-2,806",0,2,"34,14",3,12.81186784,5.522288756
fhiQa@JRQ`H@bDaddebRftRPe^CK@DUUD@@ !B?`@@?g?~?g~H?[_}?g?~_xc}m?vH?Hc}?`BH?H`B?`@,47,Z8077991262,1907006-Y10-01,O05,10,10,C10H13FN2O3S,O=S(c1nc(NC2CCOCC2)ccc1)(F)=O,260.2852,92.05,27521095,0,Achiral,None,6-[(oxan-4-yl)amino]pyridine-2-sulfonyl fluoride,"1,343","-2,582",1,5,"68,29",3,-4.855023601,4.856952761
dcNLPJSE@HbPrRRqIKCLl@E@@@ !B?[^H_PJHmpJw__x@mpJw@ox@?`Bw@`,48,Z3271510271,1907006-Y10-01,P05,10,10,C6H6FNO3S,COc1cc(S(F)(=O)=O)ncc1,191.1801,100,27521095,0,Achiral,None,4-methoxypyridine-2-sulfonyl fluoride,"1,483","-1,263",0,4,"56,26",2,9.775967413,10.0284495
ff}aS@KHqhvPADIAPQddebRrdLTRvEINYX@IZjjb@@ !B_Xbw_PJwbOs~@Hc}b@JH?Ha}b@HBm?vHbOrH?_x@bOs~_x`B?`C~@H`B,49,Z2451908149,1907006-Y10-01,A06,10,10,C13H18FNO5S2,CCC(C1)OCC(C)N1S(c(cc1)ccc1S(F)(=O)=O)(=O)=O,351.4141,97,27521095,0,Diastereomeric mixture,Unequal mixture of geometric isomers,4-[(2-ethyl-5-methylmorpholin-4-yl)sulfonyl]benzene-1-sulfonyl fluoride,"3,013","-3,203",0,5,"80,75",3,2.896871379,-1.108374384
fbuPQ@AZQ`e`ADICIIJhdeeMDeIR\rt@EL@@@@@ !BmpHBbOvwbOw~_{_}bOw~_?y?bGvH__y?m?vH?_y?bOrH_Xc}b@H,50,Z4638264308,1907006-Y10-01,B06,10,10,C12H9FN2O4S,O=C(c1ccccc1)Nc1cc(OS(F)(=O)=O)cnc1,296.2743,100,27521095,0,Achiral,None,5-benzamidopyridin-3-yl sulfurofluoridate,"0,405","-3,041",1,4,"85,36",4,10.0811124,17.36453202
fjmPP`BTdkIPQ@`bHPfPrJJIHrFIKJQgOA`HIX@JT@@@ !B?g~w?Xc}?g~w?Oy?bGw~@@C~_?{~@K\Bb@K~@Ox@b@K~@Ox@@Oy??`,51,Z2867517742,1907006-Y10-01,C06,10,10,C11H8ClFN2O4S2,O=S(c(cc1)ccc1S(F)(=O)=O)(Nc(nccc1)c1Cl)=O,350.7736,98.29,27521095,0,Achiral,None,4-[(3-chloropyridin-2-yl)sulfamoyl]benzene-1-sulfonyl fluoride,"2,436","-3,784",1,5,"93,2",3,30.12746234,26.47783251
fbuPQ@AZQ`e`ADICIIJhdeeMHeIR\rt@EMUQ@@@ !B~AQk~OmkEOl@Inh`EOl@I`@fEOlT~p@fzb@T~q_SZMLT~Ni_yU|,52,Z4650035497,1907006-Y10-01,D06,10,10,C12H15FN2O4S,CC1(CCCC1)C(Nc1cc(OS(F)(=O)=O)cnc1)=O,302.3219,100,27521095,0,Achiral,None,5-(1-methylcyclopentaneamido)pyridin-3-yl sulfurofluoridate,"0,907","-3,008",1,4,"85,36",4,14.98864497,15.80756014
ff}QS@KQQcQj`BHRD`cIIKDeMIUDeLIR\rpABtttd@@ !B@hbH?_vwmpK~@K]}mpJw@ox@mwu??`C~?`BH@ox@bOvH@h`BbGw~@H`B,53,Z3488559525,1907006-Y10-01,E06,10,10,C12H11FN2O5S2,CN(C=C(C=C1)NS(c2cccc(S(F)(=O)=O)c2)(=O)=O)C1=O,346.3545,100,27521095,0,Achiral,None,"3-[(1-methyl-6-oxo-1,6-dihydropyridin-3-yl)sulfamoyl]benzene-1-sulfonyl fluoride","1,404","-2,322",1,5,"100,62",3,7.872823618,16.95303551
fjm`P`GHpRp@bDafPKHYIIUDeDiXdiKTTrt@QMUTP@@ !BtMKRs|?Ms]B?SlwPTv^?Sk}Ns]ASYuMgotxlFFU`@OxXKAi`UHPka@,54,Z7651366046,1907006-Y10-01,F06,10,10,C12H12F3NO4S,Cc1cc(OS(F)(=O)=O)cc(C(N(CC2)CC2(F)F)=O)c1,323.2882,100,27521095,0,Achiral,None,"3-(3,3-difluoropyrrolidine-1-carbonyl)-5-methylphenyl sulfurofluoridate","0,45","-4,447",0,3,"63,68",3,6.257901391,7.397622193
fleaa@NHph@QBPrRRqIZZIJ[`oAejjX@JbAJ@@ !BYuLlYq`lTq`ZXG?~YrqeXOx@b@Jw@ox@mwvw@k\Bmww~@K\B,55,Z2940560119,1907006-Y10-01,G06,10,10,C13H16FNO3S,Cc(cc1)c(C)cc1C(N(CC1)CC1S(F)(=O)=O)=O,285.3344,100,27521095,0,Racemic or presumed racemic or meso,None,"1-(3,4-dimethylbenzoyl)pyrrolidine-3-sulfonyl fluoride","1,759","-3,889",0,3,"54,45",2,-5.372945638,11.49273448
fhq`Q@MHpRp@bDaddeTRVRfdeRt@EMP@@ !B?Xbw?PJwb@K~@K\Bb@K~@Ox@b@K~@H`BbGw~@Hc|m?p,56,Z3919177922,1907006-Y10-01,H06,10,10,C10H12FNO4S,CC(C)C(Nc(cc1)ccc1OS(F)(=O)=O)=O,261.27,100,27521095,0,Achiral,None,4-(2-methylpropanamido)phenyl sulfurofluoridate,"0,423","-3,113",1,3,"72,47",4,9.418457649,11.22853369
fleac@ERbdDQxHCHILkk\kuQegP@TuUReBu@@ !BTqb?L]KPTqaSFMKPTqcRtHANTq`ZXG?~YrqeXOx@?`@@?g?~,57,Z2940560224,1907006-Y10-01,I06,10,10,C12H13ClFNO3S,O=C(Cc(cc1)ccc1Cl)N(CC1)CC1S(F)(=O)=O,305.7529,100,27521095,0,Racemic or presumed racemic or meso,None,1-[2-(4-chlorophenyl)acetyl]pyrrolidine-3-sulfonyl fluoride,"1,992","-3,148",0,3,"54,45",3,5.25606469,2.169491525
ff}`P`MHpRp@bDafPkHYIIUDedihdhYJRVV`@i`BH@@@ !B?Xbw?PJwb@K~@K\Bb@K~@Ox@b@K~@Hc|bOw~@H`BmpK~@Ox@b@Jw@ox@,58,Z4262276128,1907006-Y10-01,J06,10,10,C13H8F3NO4S,O=C(c(cc1)cc(F)c1F)Nc(cc1)ccc1OS(F)(=O)=O,331.2671,100,27521095,0,Achiral,None,"4-(3,4-difluorobenzamido)phenyl sulfurofluoridate","1,562","-4,748",1,3,"72,47",4,47.57412399,33.89830508
fjmQSBNNQaTT`BHRAYAti{IIKDeihheE^BCfVji``Xh`R`@ !BYuLlYq`lTq`ZXG?~YrqeXOx@b@Jw@ox@mwvH@k\BmpK~@Ha}mwvw@`,59,Z2940560475,1907006-Y10-01,K06,10,10,C11H10F2N2O5S,[O-][N+](c(cc(cc1)F)c1C(N(CC1)CC1S(F)(=O)=O)=O)=O,320.2693,91,27521095,0,Racemic or presumed racemic or meso,None,1-(4-fluoro-2-nitrobenzoyl)pyrrolidine-3-sulfonyl fluoride,"0,886","-3,828",0,5,"97,59",3,-0.768737988,8.912280702
fjm`Q@MHpRp@bDaddeTRVRfbbde^CKP@TuUQ@@@ !B@hbw@gvwbGvH@ox@bGvH@h`BbGvH@ha}?g~H@`JH@OxGmGbtdd|@K`,60,Z4262230474,1907006-Y10-01,L06,10,10,C14H18FNO4S,CC1(C)C(C)(C)C1C(Nc(cc1)ccc1OS(F)(=O)=O)=O,315.3604,95.27,27521095,0,Achiral,None,"4-(2,2,3,3-tetramethylcyclopropaneamido)phenyl sulfurofluoridate","2,765","-4,15",1,3,"72,47",4,70.59577194,21.26315789
fdiqb`J\tcB`ADICt`FPcHYIIXeeMEiNBeijZji@@ !BYrqSYqaSKA`@?fU`Ff@XKOx@mpJH@ox@bOvH@hc|@k]}b@,61,Z8221577684,1907006-Y10-01,M06,10,10,C7H7F4N3O3S,CN(CC(F)(F)F)C(c1n[nH]c(S(F)(=O)=O)c1)=O,289.2074,97.65,27521095,0,Achiral,None,"3-[methyl(2,2,2-trifluoroethyl)carbamoyl]-1H-pyrazole-5-sulfonyl fluoride","0,622","-3,076",1,4,"83,13",4,5.259608901,-2.328675981
fakqQ@AZbcAKM@DPdLddjbRVTtRRRTeIrwlm@AS@AUA@@@ !BbGu}m?rHm?s~@H`BmpK~@Ox@m?rw?Ox@b@Jw@ox@m?vw@k\Bmwvw?[\BmpJw_P,62,Z4607528853,1907006-Y10-01,N06,10,10,C14H12FN3O5S,O=C(c1cnc(CCOC2)c2c1)Nc1cc(OS(F)(=O)=O)cnc1,353.3256,100,27521095,0,Achiral,None,"5-{5H,7H,8H-pyrano[4,3-b]pyridine-3-amido}pyridin-3-yl sulfurofluoridate","-1,296","-2,149",1,6,"107,48",4,0.4045853,-2.727877578
fleQa@FZQcp@bDaddeRbRrbbrmQSKMUTDA@@@ !B@k^H?OvHmww~_{]}?g~w@k_}mwvw?K_}m?s~_?x@m?vw?_y?,63,Z8208509939,1907006-Y10-01,O06,10,10,C12H15FN2O3S,Oc(cccc1)c1N(CC1)CCN1C=CS(F)(=O)=O,286.3225,95.71,27521095,0,Achiral,None,2-[4-(2-hydroxyphenyl)piperazin-1-yl]ethene-1-sulfonyl fluoride,"1,842","-2,533",1,5,"60,85",3,-1.348617667,-1.131071191
fbu`Q@KHpPp@bDaddeTRTtJbReiNYZ@HZ@@@@@ !BmpHBbOvwbOw~_xc}m?w~_?y?bGvw_X`B?g~H?_y?bOrH_Xc}b@H,64,Z3919175591,1907006-Y10-01,P06,10,10,C13H10FNO4S,O=C(c1cccc(OS(F)(=O)=O)c1)Nc1ccccc1,295.2862,100,27521095,0,Achiral,None,3-(phenylcarbamoyl)phenyl sulfurofluoridate,"1,074","-4,213",1,3,"72,47",4,4.480651731,8.036984353
